code,depth1,depth_cm,min,max,median,mean,grass_drylandpc
11210,11210,0,10448,11850,11210,11199,6.4
11612,11612,20,10928,12161,11612,11596,8
12009,12009,40,11428,12482,12009,11997,11.2
12396,12396,60,11930,12795,12396,12390,9.6
12789,12789,80,12498,13087,12789,12794,16
13228,13228,100,12910,13711,13228,13254,12.8
13706,13706,120,13249,14321,13706,13727,12.8
14178,14178,140,13633,14884,14178,14203,8
14653,14653,160,14034,15438,14653,14676,6.4
15250,15250,185,14539,16095,15250,15267,9.6
15846,15846,210,15076,16745,15846,15867,6.4
16320,16320,230,15514,17242,16320,16340,6.4
16681,16681,245,15849,17621,16681,16700,6.4
17041,17041,260,16191,18006,17041,17054,12.8
17636,17636,285,16757,18592,17636,17648,9.6
18119,18119,305,17218,19078,18119,18124,4.8
18468,18468,320,17568,19422,18468,18479,9.6
18945,18945,340,18035,19889,18945,18951,9.6
19540,19540,365,18635,20451,19540,19544,12.8
19896,19896,380,19009,20791,19896,19898,16
20371,20371,400,19500,21235,20371,20374,12.8
20612,20612,410,19754,21466,20612,20612,6.4
20873,20873,420,20028,21688,20873,20871,12.8
21134,21134,430,20306,21905,21134,21128,11.2
21393,21393,440,20575,22133,21393,21384,17.6
21660,21660,450,20865,22351,21660,21646,6.4
21916,21916,460,21137,22552,21916,21901,19.2
22180,22180,470,21448,22762,22180,22158,11.2
22439,22439,480,21756,22970,22439,22419,28.8
22827,22827,495,22226,23263,22827,22805,4.8
22851,22851,496,22271,23275,22851,22830,11.2
23201,23201,510,22776,23563,23201,23193,3.2
23394,23394,520,22928,23832,23394,23393,3.2
23590,23590,530,23085,24099,23590,23593,3.2
23787,23787,540,23258,24346,23787,23791,6.4
24083,24083,555,23502,24720,24083,24091,6.4
24182,24182,560,23578,24847,24182,24191,16
24378,24378,570,23741,25079,24378,24389,1.6
24582,24582,580,23914,25324,24582,24593,1.6
24880,24880,595,24173,25668,24880,24891,16
24937,24937,598,24219,25740,24937,24950,24
