depth_cm,min,max,median,mean,grass_drylandpc
0,-60,-33,-47,-47,22.00134018
10,144,2072,773,860,23.79941925
20,645,3283,1697,1762,21.05204378
30,1267,4401,2609,2670,19.21822649
40,1957,5472,3520,3577,11.02077284
50,2698,6475,4428,4477,28.27339736
60,3456,7465,5328,5369,25.9839178
70,4234,8362,6215,6247,23.69443824
80,5047,9338,7135,7157,12.76301094
90,5926,10161,8020,8037,20.92472638
100,6802,11073,8954,8937,30.90685727
110,7628,11906,9857,9832,21.80031271
130,9505,13541,11650,11613,24.4963145
140,10467,14282,12538,12498,24.47174447
150,11418,15017,13444,13382,18.99932991
160,12459,15689,14341,14270,14.43823989
170,13637,16335,15254,15182,19.8726826
180,14813,16894,16161,16074,13.49117713
190,16456,17312,16977,16955,14.38239893
200,16882,18217,17476,17496,26.18271164
210,17233,18930,17980,18006,8.889881617
220,17632,19533,18487,18512,17.96515524
230,18034,20158,18992,19025,17.03596158
240,18481,20734,19512,19539,19.74089792
250,18904,21272,20031,20046,18.81617154
260,19355,21815,20554,20560,8.800536073
275,20101,22597,21322,21331,17.8646415
280,20332,22889,21582,21591,20.57739558
290,20817,23369,22106,22099,23.29014965
300,21317,23856,22616,22609,18.72905964
310,21833,24356,23141,23125,34.16350235
330,22952,25254,24163,24149,25.94594595
340,23484,25694,24697,24664,40.47241456
350,24084,26112,25214,25176,54.99888318
360,24689,26485,25716,25682,36.79696225
370,25343,26854,26219,26183,46.78132678
380,26056,27186,26714,26688,37.67254858
390,26412,27854,27144,27137,34.01831584
400,26734,28501,27575,27581,41.27094036
410,27092,29075,28009,28021,30.34844762
420,27425,29658,28455,28470,22.14652669
430,27791,30222,28887,28913,30.30824213
440,28116,30736,29340,29360,13.92226938
450,28503,31265,29789,29810,15.72481572
460,28881,31791,30247,30256,13.89099844
470,29217,32280,30688,30699,20.24123297
480,29602,32778,31126,31140,25.67344204
490,29959,33269,31579,31585,2.926066562
495,30163,33508,31787,31805,12.91936565
500,30349,33744,32026,32030,22.91266473
510,30731,34277,32472,32469,21.98235426
520,31106,34784,32936,32914,21.05204378
530,31509,35255,33389,33359,25.57739558
540,31813,35772,33858,33827,18.28903283
