depth_cm,min,max,median,mean,d13C_C30_FA,d13C Error,ORIGINAL_Age
7,167,623,399,397,-31.07,0.25,370
17,605,2081,1217,1253,-30.86,0.38,1230
49,3701,4270,4029,4020,-30.55,0.26,3940
66,4223,5452,4729,4752,-32.09,0.27,4620
82,4677,6254,5379,5403,-31.51,0.04,5250
114,5751,7731,6687,6700,-31.97,0.19,6530
130,6309,8396,7332,7343,-32.06,0.13,7160
147,6955,9064,8019,8022,-32,0.28,7840
163,7604,9685,8672,8671,-32.05,0.25,8480
179,8268,10293,9334,9313,-31.69,0.34,9110
196,9013,10885,10025,10003,-31.66,0.18,9790
212,9733,11420,10669,10644,-31.07,0.05,10430
228,10514,11911,11319,11294,-31.78,0.14,11060
245,11554,12387,11988,11984,-31.68,0.3,11740
261,12223,13378,12753,12768,-31.17,0.07,12470
277,12952,14206,13591,13589,-31.3,0.19,13230
293,13979,14848,14412,14412,-30.78,0.42,13990
309,15155,15993,15618,15608,-32.47,0.19,15570
325,16064,17603,16733,16757,-32.19,0.3,16830
342,17102,18640,17919,17909,-32.27,0.13,18050
359,18679,19427,19066,19063,-32.67,0.13,19270
374,19231,20691,19827,19861,-32.93,0.11,20350
