depth_cm,min,max,median,mean,grass_drylandpc
2,-62,-2,-34,-34,6.14973262
10,-44,162,18,29,5.594405594
22,3,298,115,124,5.084745763
35,74,399,223,227,3.963414634
47,158,482,321,321,3.098591549
60,284,591,435,424,5.376344086
72,349,740,526,526,4.011461318
85,420,886,630,636,4.081632653
95,481,1007,714,722,3.533568905
109,565,1158,833,840,7.61589404
121,643,1286,934,940,8.550185874
133,732,1393,1036,1042,15.38461538
145,823,1508,1139,1145,10.86956522
157,915,1617,1240,1247,3.75
169,995,1726,1345,1351,2.678571429
181,1085,1841,1449,1452,5.063291139
195,1206,1959,1572,1572,5.362776025
205,1280,2043,1658,1658,4.049844237
220,1405,2184,1785,1788,4.866180049
236,1542,2305,1919,1922,5.949008499
252,1673,2440,2057,2057,9.677419355
270,1833,2579,2216,2212,5.015673981
285,1974,2690,2340,2338,14.43298969
300,2122,2802,2466,2467,14.90909091
314,2265,2908,2585,2585,12.0754717
328,2400,3011,2704,2705,12.4137931
342,2557,3110,2817,2823,9.451219512
362,2791,3265,2980,2992,13.08411215
382,2904,3496,3159,3169,16.14035088
405,3061,3736,3358,3371,14.66165414
424,3196,3938,3531,3540,10.18867925
447,3362,4161,3738,3744,5.483870968
462,3476,4305,3871,3875,11.15107914
486,3665,4525,4077,4085,4.810996564
501,3783,4663,4207,4213,7.692307692
516,3919,4784,4345,4349,11.02661597
533,4061,4932,4496,4499,6.439393939
557,4273,5126,4701,4706,7.984790875
581,4470,5313,4913,4917,12.06896552
597,4629,5431,5054,5062,11.9047619
598,4637,5440,5062,5071,8.278145695
615,4781,5561,5192,5211,9.375
637,4914,5734,5354,5351,8.783783784
656,5036,5877,5480,5473,7.228915663
683,5199,6069,5651,5646,8
704,5317,6211,5784,5779,10.98901099
720,5410,6320,5884,5881,3.49127182
742,5549,6467,6025,6022,4.009433962
768,5707,6634,6191,6188,4.624277457
782,5795,6723,6283,6277,7.251908397
805,5938,6886,6433,6427,6.402439024
830,6091,7051,6591,6585,9.157509158
847,6208,7153,6702,6696,6.462585034
872,6367,7318,6861,6857,12.35521236
898,6542,7472,7028,7023,12.09150327
915,6652,7588,7137,7133,8.333333333
938,6804,7737,7283,7279,7.220216606
964,6969,7894,7449,7444,6.115107914
981,7073,8001,7559,7552,4.560260586
1009,7268,8164,7734,7731,3.9408867
1035,7447,8313,7906,7897,6.920415225
1050,7541,8402,8000,7992,7.835820896
1074,7705,8536,8154,8145,6.204379562
1100,7882,8687,8319,8310,5.395683453
1118,8010,8786,8432,8424,6.081081081
1136,8134,8882,8548,8538,9.589041096
1154,8269,8976,8663,8652,9.677419355
1180,8458,9117,8830,8819,11.67883212
1200,8615,9215,8956,8945,10.54545455
1218,8757,9301,9072,9061,10.52631579
1237,8920,9389,9196,9182,17.77003484
1251,9034,9450,9288,9272,15.0877193
1266,9123,9516,9372,9354,16.66666667
1276,9165,9563,9426,9405,17.18213058
1289,9229,9653,9484,9469,22.82608696
1302,9294,9730,9542,9531,26.8707483
1327,9409,9860,9659,9652,28.61952862
1353,9529,10002,9783,9779,19.01408451
1373,9630,10101,9876,9874,26.44927536
1394,9733,10199,9977,9974,25.89928058
1412,9823,10286,10063,10062,20.54794521
1442,9973,10426,10209,10206,12.18637993
1471,10136,10557,10345,10345,21.01449275
1492,10257,10643,10445,10446,14.62585034
1500,10293,10687,10485,10485,13.30935252
