median,Guano_d13C
159.8019897,-26.3
2968.952756,-24.7
4357.908396,-26
5524.583073,-25.8
6926.154659,-25.4
8438.866728,-25.8
9604.339886,-25.8
10885.15884,-25.9
12761.33032,-24.4
13467.82333,-23.4
14846.56606,-26.1
16383.3085,-23.1
17661.12366,-23.7
18954.55856,-22.2
21748.08959,-22.7
22920.1711,-21.8
24319.9404,-21.6
25719.70971,-21.4
27120.68054,-21.1
27583.26525,-21.6
28166.60259,-21.5
28869.49104,-21
29451.0261,-21.2
30034.36344,-21.1
30615.8985,-21.3
30619.50305,-20.8
31199.83659,-21.1
31781.37165,-21.3
32365.30975,-21.1
32948.64709,-21.1
33529.58139,-21.3
34112.31797,-21.3
