depth_cm,min,max,median,mean,grass_drylandpc
20,133,1481,606,663,1.543780167
67,1408,3479,2423,2429,0
113,3364,4938,4337,4280,0
164,5264,6246,5696,5717,3.160554215
219,6249,7285,6819,6807,0.797276332
243,6780,7633,7295,7271,2.044098
310,8091,9389,8645,8671,54.39350435
343,8622,10240,9348,9369,4.024494699
388,9458,11235,10325,10331,0.498297707
431,10283,12128,11255,11246,3.452260386
477,11288,12913,12272,12229,0.081074384
520,12285,13573,13229,13168,0
645,13934,15311,14674,14667,7.266123298
692,14506,15893,15200,15203,1.040364808
735,15041,16402,15680,15691,8.70162472
778,15596,16891,16149,16182,5.174080977
820,16141,17549,16778,16796,1.415030814
867,16765,18313,17512,17517,4.293844811
906,17346,18902,18109,18116,4.622721298
950,18034,19526,18784,18784,1.558863773
995,18761,20130,19481,19474,5.826042924
1051,19781,20839,20331,20326,1.302038442
1093,20368,21649,20973,20981,4.641845156
1137,20965,22441,21666,21672,7.982325246
1185,21629,23279,22417,22430,4.766150233
1228,22283,23979,23092,23107,6.023072531
1264,22842,24562,23673,23681,7.507460998
1307,23543,25218,24360,24364,6.989500733
1352,24249,25845,25030,25035,13.49390191
1401,24987,26549,25752,25758,5.957620453
1442,25681,27198,26434,26431,7.290364808
1496,26644,28479,27492,27507,9.478699793
1541,27377,29778,28464,28490,9.733100974
1575,27953,30651,29182,29210,5.66133533
1597,28299,31169,29619,29657,5.441276289
