depth_cm,min,mean,max,median,montane_drylandpc,lowland_drylandpc,grass_woodland_drylandpc
4,-21,216,742,164,42.04545455,51.13636364,6.818181818
21,506,1279,2352,1225,30.68181818,59.09090909,10.22727273
38,1252,2329,3575,2300,33.69565217,55.43478261,10.86956522
53,2043,3265,4604,3241,33.33333333,52.87356322,13.79310345
77,3378,4742,6106,4737,37.5,51.13636364,11.36363636
97,4606,5982,7278,5996,42.30769231,50,7.692307692
116,5904,7171,8335,7193,47.6744186,44.18604651,8.139534884
136,7321,8404,9319,8436,52.3255814,39.53488372,8.139534884
178,10255,11033,11814,11034,46.91358025,39.50617284,13.58024691
213,12547,13159,13706,13156,60.63829787,29.78723404,9.574468085
235,13364,14264,15378,14225,58.94736842,29.47368421,11.57894737
244,13693,14714,15962,14667,65.97938144,25.77319588,8.24742268
263,14435,15677,17176,15633,69.56521739,19.56521739,10.86956522
283,15254,16685,18376,16637,75,14.58333333,10.41666667
303,16029,17683,19588,17634,73.95833333,10.41666667,15.625
322,16827,18634,20697,18579,86.59793814,6.18556701,7.216494845
342,17645,19622,21859,19564,82.65306122,7.142857143,10.20408163
362,18463,20616,23014,20569,83.33333333,8.333333333,8.333333333
384,19433,21706,24200,21654,84.69387755,8.163265306,7.142857143
413,20707,23151,25888,23092,81.72043011,10.75268817,7.52688172
442,21933,24601,27526,24552,80.85106383,14.89361702,4.255319149
462,22832,25598,28601,25532,84.53608247,10.30927835,5.154639175
483,23821,26655,29790,26608,71.13402062,13.40206186,15.46391753
503,24689,27662,30854,27610,72.63157895,15.78947368,11.57894737
528,25834,28914,32293,28873,79.78723404,9.574468085,10.63829787
