depth_cm,min,max,median,mean,C4_pc
8,-45,103,14,17,25
48,240,513,373,374,27
88,651,890,763,765,26
122,1006,1267,1135,1137,34
188,1650,2073,1830,1838,28
218,2012,2551,2267,2271,20
248,2442,2970,2705,2707,20
283,2975,3493,3215,3219,17
313,3358,3980,3657,3661,18
348,3880,4495,4180,4183,20
408,4874,5602,5219,5225,11
428,5260,6004,5629,5628,12
453,5810,6442,6138,6135,9
468,6213,6708,6432,6440,0
478,6391,7025,6664,6674,15
498,6747,7605,7133,7143,16
518,7140,8125,7610,7615,24
543,7698,8672,8198,8195,20
563,8181,9086,8671,8662,20
583,8766,9470,9127,9125,15
593,9100,9683,9363,9364,21
613,9564,10358,9943,9948,24
633,10173,10889,10543,10540,24
648,10692,11299,10995,10993,24
658,10935,11742,11310,11317,25
668,11223,12064,11640,11641,30
683,11724,12457,12135,12123,30
693,12167,12688,12469,12459,34
703,12473,13324,12872,12881,33
713,12807,13755,13323,13314,44
724,13056,14067,13688,13655,34
728,13376,15017,14096,14128,29
733,13813,16211,14817,14871,36
738,14366,16884,15585,15593,39
743,15048,17386,16381,16334,37
748,16196,17827,17130,17097,42
753,17340,18212,17839,17819,44
758,17757,19170,18398,18414,47
763,18125,19918,18922,18950,40
768,18558,20476,19470,19485,42
773,19021,20921,20018,20007,39
778,19592,21313,20569,20531,36
783,20459,21630,21060,21058,43
788,21054,22146,21572,21579,34
793,21361,22936,22061,22084,35
798,21715,23501,22569,22581,39
803,22161,23938,23076,23069,38
808,22684,24331,23583,23560,38
813,23355,24672,24062,24046,36
818,23957,24995,24505,24500,39
