depth_cm,min,max,median,mean,d13C_C30FA,d13C_C30FA_err
8,-45,103,14,17,-27.29,0.06
48,240,513,373,374,-27.06,0.02
88,651,890,763,765,-27.12,0.12
122,1006,1267,1135,1137,-26.28,0.15
188,1650,2073,1830,1838,-26.95,0.07
218,2012,2551,2267,2271,-27.83,0.12
248,2442,2970,2705,2707,-27.82,0.03
283,2975,3493,3215,3219,-28.16,0.16
313,3358,3980,3657,3661,-28,0.18
348,3880,4495,4180,4183,-27.75,0.17
408,4874,5602,5219,5225,-28.74,0.15
428,5260,6004,5629,5628,-28.67,0.26
453,5810,6442,6138,6135,-29,0.13
468,6213,6708,6432,6440,-28.85,0.32
478,6391,7025,6664,6674,-28.36,0.23
498,6747,7605,7133,7143,-28.24,0.23
518,7140,8125,7610,7615,-27.41,0.29
543,7698,8672,8198,8195,-27.76,-999
563,8181,9086,8671,8662,-27.78,0.2
583,8766,9470,9127,9125,-28.34,0.07
593,9100,9683,9363,9364,-27.7,0.23
613,9564,10358,9943,9948,-27.4,0.15
633,10173,10889,10543,10540,-27.41,0.2
648,10692,11299,10995,10993,-27.39,0.11
658,10935,11742,11310,11317,-27.21,0.25
668,11223,12064,11640,11641,-26.71,0.17
683,11724,12457,12135,12123,-26.74,0.12
693,12167,12688,12469,12459,-26.22,0.1
703,12473,13324,12872,12881,-26.39,0.09
713,12807,13755,13323,13314,-25.13,0.04
724,13056,14067,13688,13655,-26.22,0.23
728,13376,15017,14096,14128,-26.79,0.11
733,13813,16211,14817,14871,-26.03,0.35
738,14366,16884,15585,15593,-25.76,0.31
743,15048,17386,16381,16334,-25.92,0.01
748,16196,17827,17130,17097,-25.34,0.18
753,17340,18212,17839,17819,-25.11,0.19
758,17757,19170,18398,18414,-24.82,0.07
763,18125,19918,18922,18950,-25.62,0.14
768,18558,20476,19470,19485,-25.39,0.3
773,19021,20921,20018,20007,-25.75,0.31
778,19592,21313,20569,20531,-25.99,0.19
783,20459,21630,21060,21058,-25.27,0.28
788,21054,22146,21572,21579,-26.22,0.01
793,21361,22936,22061,22084,-26.11,0.15
798,21715,23501,22569,22581,-25.76,0.21
803,22161,23938,23076,23069,-25.84,0.26
808,22684,24331,23583,23560,-25.79,0.29
813,23355,24672,24062,24046,-26.04,0.06
818,23957,24995,24505,24500,-25.69,0.17
