depth_cm,min,max,median,mean,lowland_pc,lowland_lower,lowland_upper,grass_pc,grass_lower,grass_upper,montane_pc,montane_lower,montane_upper
28,795,1330,1030,1039,52.11,47.24,56.94,17.37,13.98,21.37,13.93,10.14,18.84
68,1617,2070,1897,1883,58.48,53.86,62.95,9.38,7.01,12.44,10.88,7.81,14.96
108,2314,2718,2515,2517,68.42,61.5,74.61,8.95,5.66,13.86,10.34,6.37,16.36
158,3091,3598,3315,3322,59.41,54.76,63.89,12.7,9.91,16.13,14.94,11.39,19.35
208,4074,4468,4249,4255,68.19,63.43,72.6,8.65,6.26,11.84,11.84,8.68,15.96
258,5144,5522,5364,5355,70.75,65.84,75.22,3.06,1.72,5.4,17.53,13.69,22.17
298,5859,6508,6187,6186,67.78,60.64,74.17,7.78,4.69,12.63,15.86,10.81,22.68
343,6883,7316,7127,7121,74.22,69.99,78.04,3.78,2.37,5.97,18.14,14.7,22.17
383,7779,8234,8047,8038,69.02,64.31,73.37,4.79,3.09,7.36,21.26,17.29,25.86
423,8705,9168,8955,8950,61.87,53.58,69.52,7.19,3.95,12.73,20.37,13.85,28.92
448,9284,9880,9557,9562,71.67,65.66,76.99,3.75,1.98,6.97,12.69,8.74,18.06
473,9956,10494,10241,10236,59.42,51.08,67.25,5.8,2.97,11.03,24.77,17.62,33.64
508,10890,11749,11293,11299,58.31,52.61,63.79,5.76,3.63,9.03,23.21,18.16,29.16
543,12062,12570,12394,12375,55.19,50.73,59.57,12.03,9.42,15.24,23.56,19.4,28.29
550,12302,12800,12610,12600,40.26,36.2,44.46,21.89,18.6,25.57,35.03,30.11,40.29
556,12513,13163,12824,12834,41.53,37.73,45.43,21.41,18.38,24.79,33.84,29.34,38.65
568,12923,13510,13255,13245,35.11,30.93,39.53,26.81,23,30.99,36.29,30.67,42.31
578,13491,13748,13600,13608,34.8,31.32,38.45,31.43,28.06,35,30.81,26.17,35.88
593,13843,14454,14068,14088,30.94,27.71,34.37,33.11,29.81,36.59,35.04,30.24,40.17
608,14301,15038,14636,14643,34.95,31.92,38.11,31.97,29.02,35.08,27.79,23.81,32.16
618,14686,15344,15053,15043,35.98,32.88,39.2,31.33,28.35,34.47,29.56,25.53,33.93
622,14931,15444,15198,15196,32.64,29.51,35.93,34.72,31.53,38.05,31.09,26.68,35.87
630,15267,15756,15476,15484,32.92,29.77,36.23,31.44,28.34,34.72,35.04,30.59,39.77
640,15604,16368,15844,15878,35.97,31.63,40.55,23.98,20.23,28.17,36.9,31.18,43.01
646,16124,17231,16735,16713,31.03,28.07,34.16,28.43,25.55,31.49,41.45,37.07,45.97
653,17182,17846,17486,17496,19.09,15.89,22.75,35.39,31.34,39.67,57.33,50.8,63.62
656,17372,18269,17753,17770,25.09,22.3,28.1,37.34,34.16,40.63,45.57,40.72,50.5
662,18040,18566,18246,18283,21.32,18.74,24.15,42.19,38.96,45.49,49.73,44.68,54.79
666,18285,18867,18514,18534,19.36,16.95,22.02,37.33,34.29,40.48,55.42,50.56,60.18
678,18705,19338,19024,19022,23.38,19.96,27.18,39.16,35.08,43.4,44.84,38.45,51.4
694,19391,20428,19881,19889,20.28,17.5,23.37,40.28,36.76,43.9,48.23,42.46,54.05
714,20582,21398,21054,21045,19.55,16.51,23,39.97,36.04,44.03,54.84,48.62,60.91
733,21012,22260,21847,21763,19.76,15.32,25.1,43.87,37.89,50.03,42.53,32.67,53.02
748,21290,22726,22225,22134,23.97,20.46,27.86,39.88,35.72,44.19,44.55,38.13,51.16
