depth_cm,min,max,median,mean,herbs_pc,,,,,
0,-58,-30,-45,-45,31,,,,,
10,102,1326,540,582,39,,,,,
15,268,1668,852,886,41,,,,,
25,789,2275,1536,1535,38,,,,,
30,1082,2524,1865,1849,32,,,,,
40,1844,2932,2543,2505,41,,,,,
50,2749,4042,3205,3260,26,,,,,
65,3727,5490,4631,4625,37,,,,,
75,4797,6120,5609,5565,13,,,,,
85,5941,6435,6229,6211,4,,,,,
95,6068,6613,6367,6357,41,,,,,
110,6297,6834,6577,6573,21,,,,,
120,6465,6970,6721,6719,20,,,,,
130,6644,7095,6862,6863,23,,,,,
140,6817,7229,7004,7011,30,,,,,
150,6953,7393,7160,7160,28,,,,,
160,7077,7608,7324,7328,43,,,,,
170,7199,7860,7489,7499,44,,,,,
180,7329,8080,7656,7669,39,,,,,
190,7465,8282,7828,7840,39,,,,,
200,7610,8484,7999,8012,56,,,,,
215,7831,8822,8256,8274,49,,,,,
225,7993,9014,8427,8449,56,,,,,
235,8148,9201,8595,8621,72,,,,,
245,8300,9398,8762,8792,63,,,,,
255,8462,9570,8928,8962,67,,,,,
270,8639,9802,9131,9152,72,,,,,
280,8754,9952,9253,9277,80,,,,,
300,9000,10234,9499,9528,86,,,,,
305,9056,10298,9558,9591,82,,,,,
315,9182,10440,9676,9716,43,,,,,
325,9308,10581,9798,9839,53,,,,,
335,9423,10721,9915,9963,65,,,,,
345,9546,10869,10030,10087,62,,,,,
355,9672,11024,10140,10212,76,,,,,
365,9832,11176,10317,10382,68,,,,,
375,9996,11338,10494,10552,72,,,,,
385,10142,11508,10674,10724,80,,,,,
395,10307,11666,10854,10897,79,,,,,
410,10552,11925,11119,11152,77,,,,,
420,10714,12086,11287,11320,85,,,,,
430,10871,12253,11455,11488,85,,,,,
440,11040,12420,11635,11661,59,,,,,
455,11284,12675,11896,11920,64,,,,,
465,11445,12850,12071,12089,77,,,,,
475,11621,13008,12240,12259,82,,,,,
485,11778,13176,12409,12429,76,,,,,
495,11955,13346,12581,12601,74,,,,,
505,12142,13529,12753,12774,70,,,,,
515,12323,13686,12928,12946,52,,,,,
525,12499,13856,13100,13116,63,,,,,
535,12685,14018,13266,13287,69,,,,,
