LL2_montane,LL2_seasonal,depth_cm,min,max,median,mean,montane_drylandpc,season_drylandpc,grass_dryland_pc
23.7864,14.0777,1,-61,109,10,14,23.7864,14.0777,1.94175
9.66767,19.9396,19,987,1503,1152,1178,9.66767,19.9396,3.92749
14.8459,17.3669,33,1552,2636,2079,2083,14.8459,17.3669,5.32213
11.7284,16.6667,49,2972,3302,3126,3128,11.7284,16.6667,4.01235
16.6324,10.2669,64,3507,4170,3903,3889,16.6324,10.2669,3.49076
14.7059,10.2941,73,4005,4431,4232,4229,14.7059,10.2941,2.20588
16.8582,14.9425,101,4530,5154,4845,4842,16.8582,14.9425,4.21456
26.3598,14.6444,117,4885,5423,5191,5180,26.3598,14.6444,3.34728
16.6667,9.03955,135,5388,5778,5587,5584,16.6667,9.03955,1.69492
20.3966,11.0482,149,5640,6399,5961,5975,20.3966,11.0482,3.96601
24.8299,10.5442,165,5997,6924,6422,6431,24.8299,10.5442,2.38095
28.0374,9.65732,201,7011,7918,7509,7495,28.0374,9.65732,2.49221
14.0097,12.5604,217,7590,8278,7983,7969,14.0097,12.5604,1.93237
5.26316,17.1053,233,8278,8600,8436,8443,5.26316,17.1053,1.75439
10.0324,13.2686,265,9037,10195,9586,9592,10.0324,13.2686,3.8835
11.7647,10.6952,301,10249,11426,10901,10886,11.7647,10.6952,4.0107
7.29614,17.5966,317,10922,11870,11504,11474,7.29614,17.5966,6.43777
8.97436,19.6581,333,11568,12225,12027,12014,8.97436,19.6581,8.11966
9.47368,21.3158,365,12261,13004,12632,12633,9.47368,21.3158,9.73684
7.41935,19.6774,381,12558,13297,12939,12936,7.41935,19.6774,11.9355
8.92857,18.3036,401,12956,13623,13327,13318,8.92857,18.3036,5.35714
7.9922,27.6803,417,13317,13864,13635,13622,7.9922,27.6803,13.0604
5.14286,25.7143,433,13727,14076,13912,13916,5.14286,25.7143,12.2857
5.84192,27.1478,449,13922,14366,14127,14132,5.84192,27.1478,12.7148
16.5094,16.0377,465,14098,14620,14342,14348,16.5094,16.0377,0.943396
4.33071,31.1024,501,14563,15124,14827,14832,4.33071,31.1024,11.0236
6.46154,25.5385,517,14802,15347,15040,15050,6.46154,25.5385,15.3846
7.79817,31.1927,533,15078,15557,15257,15276,7.79817,31.1927,17.4312
9.66184,29.9517,549,15319,15886,15580,15587,9.66184,29.9517,22.7053
6.12245,33.6735,565,15619,16175,15908,15905,6.12245,33.6735,18.3673
7.1875,31.875,581,16045,16423,16226,16225,7.1875,31.875,20
