depth_cm,min,max,median,mean,d13C_C28
5,-28,1349,270,361,-39.1
26,1461,3407,2557,2523,-37.9
44,3895,4706,4151,4192,-37.8
61,4637,6680,5478,5526,-38.9
77,5522,7942,6714,6714,-39.2
84,5972,8496,7283,7267,-40.2
100,7202,9502,8480,8444,-37.7
110,8038,10020,9235,9186,-39
126,10215,10668,10410,10415,-38.3
136,10621,12397,11234,11307,-38.9
142,10915,13106,11784,11852,-36.4
149,11331,13903,12457,12510,-35.2
159,12051,14965,13384,13414,-33.6
180,13767,16864,15329,15338,-36.2
193,15058,17767,16548,16511,-34.5
205,16296,18597,17637,17573,-35.3
222,18763,19347,19060,19059,-33.4
228,19212,19713,19468,19463,-35.3
243,19737,21264,20351,20385,-34.5
257,20329,22237,21216,21232,-31.8
267,20848,22878,21830,21837,-35.7
277,21436,23447,22458,22454,-32.7
290,22220,24167,23299,23273,-34.5
316,24382,25234,24869,24851,-35
332,25078,26780,25810,25843,-37.1
340,25450,27395,26312,26338,-32
359,26431,28616,27477,27494,-35.4
371,27081,29323,28238,28236,-33.3
384,27939,30018,29056,29036,-35.3
401,29120,30794,30119,30079,-36
412,30114,31214,30781,30751,-38.5
425,31002,32150,31486,31517,-40
433,31302,32730,31925,31948,-41.1
450,31965,33897,32842,32867,-41.2
459,32361,34441,33338,33348,-38.6
468,32798,34945,33826,33841,-38.3
484,33600,35862,34719,34726,-38.7
492,34055,36257,35170,35165,-37.9
509,35040,37129,36099,36090,-39
521,35829,37717,36746,36744,-36.4
534,36606,38430,37411,37432,-37.2
547,37145,39099,38065,38085,-35.6
558,37593,39768,38610,38626,-38.3
572,38222,40475,39301,39316,-38.9
586,38864,41207,40004,40013,-38.5
606,39814,42180,40996,41001,-36.6
619,40456,42741,41634,41632,-39
626,40844,43058,41967,41972,-38.1
641,41695,43695,42715,42715,-39.7
657,42745,44295,43473,43504,-39.9
672,43355,45037,44135,44158,-40.4
684,43733,45696,44625,44645,-44.1
697,44157,46399,45135,45170,-41.7
707,44502,46904,45529,45569,-43
720,44971,47578,46058,46101,-43.7
731,45366,48128,46474,46541,-39.3
748,46036,48946,47139,47225,-40.2
785,47530,50769,48706,48838,-43.7
799,48060,51621,49440,49548,-42.5
813,48619,52431,50168,50262,-42.7
824,49101,53090,50699,50816,-42.9
837,49664,53846,51362,51470,-43.4
860,50659,55201,52561,52643,-41.2
890,51937,56971,54092,54177,-40.3
