depth_cm,min,max,median,mean,Guano_d13C
98,5793,7523,6266,6370,-28.0432798
101,6008,12807,7736,8170,-27.91998541
103,6437,15113,8857,9361,-27.36965299
106,7055,17624,10732,11132,-25.04805345
109,8100,19823,12512,12901,-24.31406933
112,8895,22120,14324,14669,-24.74057362
115,10468,23663,16220,16483,-21.38071257
119,12211,26257,18678,18888,-13.56272747
122,13399,28267,20605,20683,-14.53894148
125,15417,29516,22475,22471,-13.37756349
128,16997,31125,24329,24247,-14.96437829
131,18561,32482,26138,26000,-15.51293157
133,20029,33496,27323,27185,-14.29066252
136,22000,34681,29228,28987,-14.35075297
140,25159,36331,31567,31340,-15.99828091
142,26280,37417,32778,32507,-16.36398309
145,29863,38234,34365,34298,-16.42398458
148,31840,39645,36041,36009,-17.40010964
151,33007,42329,37462,37560,-21.49066341
154,34054,44706,38887,39074,-22.52785744
158,35334,48226,40772,41076,-23.25952868
161,36360,50719,42267,42595,-23.93030887
163,37006,52278,43266,43601,-23.19659161
166,37979,54337,44725,45099,-23.19552413
170,39317,57091,46711,47081,-19.95753416
172,39876,58456,47675,48069,-20.93401504
176,41356,61076,49612,50041,-16.53580352
179,42466,62878,51119,51544,-21.48123397
