depth_cm,min,max,median,mean,grass_drylandpc,montane_drylandpc
39,22,273,123,129,5.1578028,19.5441777
59,93,390,221,226,1.307753403,16.67488292
99,262,583,413,415,16.84299728,23.75455806
122,428,816,602,609,8.422729189,12.05589277
141,600,1058,790,800,9.468166888,10.88964987
154,732,1274,965,974,8.182059897,15.30057287
174,950,1575,1213,1225,6.447612389,16.57861941
204,1368,2099,1669,1688,8.262693724,16.67889863
230,1768,2653,2179,2187,20.94569828,11.47431534
246,2033,2998,2505,2510,10.40752112,12.97419371
276,2600,3547,3104,3099,3.116752212,14.85430841
299,3056,3937,3547,3536,2.054660883,17.54191118
322,3425,4363,3895,3893,2.090239411,27.65960712
365,4086,5083,4553,4560,11.74348174,21.46577199
381,4342,5430,4885,4883,9.987926846,29.76554232
401,4745,5867,5304,5301,0.589683774,22.88102644
417,5066,6172,5628,5624,2.364942784,33.69821698
440,5566,6576,6110,6097,0.521026066,33.15916458
457,5950,6872,6469,6452,5.235509858,29.24614424
476,6396,7167,6850,6832,3.143809208,35.68624714
506,7188,7643,7421,7419,6.694322176,37.78777035
526,7564,8004,7749,7761,8.862516375,37.59590793
549,7903,8916,8320,8342,14.72877014,33.95155799
568,8297,9431,8830,8842,3.301115459,27.0177539
575,8455,9614,9019,9025,10.12994143,27.11231088
598,9091,10132,9685,9664,9.518648686,29.40748425
618,9905,10511,10212,10209,1.370556603,34.85927788
637,10285,11211,10719,10729,14.67062187,29.94067197
651,10638,11641,11141,11139,7.69793299,28.70905156
687,11907,12403,12177,12172,2.613219462,26.36224214
697,12048,12477,12294,12284,14.81350863,26.79790656
729,12477,12791,12612,12616,5.45670381,28.10792731
759,14062,14374,14211,14213,12.84794999,39.99387142
785,15388,16235,15746,15761,5.779336687,29.17628849
821,16650,17748,17256,17245,13.26629513,25.95832324
838,17211,18086,17735,17711,12.52395095,45.48644376
871,17728,18400,18091,18085,14.6746851,46.69594659
880,17868,18667,18252,18254,7.566462168,41.79288991
890,17881,18688,18270,18273,9.033779362,45.91127558
920,18117,19032,18544,18553,8.606327272,41.17195467
936,18263,19183,18721,18723,3.635115001,47.04930627
966,18567,19435,19002,18999,16.57039669,39.7400132
989,18856,19656,19242,19243,4.861342736,30.16510221
1018,19146,19980,19533,19541,11.2267195,52.9329182
1032,19223,20238,19665,19687,9.840245919,40.82927738
1048,19355,20494,19854,19873,10.46153486,41.06266615
1074,19572,20813,20113,20137,10.5128628,41.29876555
1087,19674,20989,20264,20279,8.712815781,41.80282875
1114,19921,21321,20570,20585,13.70648322,34.40807912
1137,20122,21598,20822,20831,11.25284738,33.28018223
1176,20498,22040,21238,21242,7.375753384,36.08833119
1242,21163,22758,21956,21956,2.368772755,33.10406009
1271,21474,23025,22265,22256,10.16698219,38.41257706
1285,21655,23189,22425,22419,1.813371869,49.37709045
1314,21974,23433,22727,22720,0.1013864,48.79927851
1334,22213,23651,22948,22946,1.766168869,50.23208903
1390,22949,24200,23538,23543,0.071816969,42.74819603
1439,23369,24862,24064,24076,2.395382049,48.51128686
1482,23767,25365,24540,24551,1.696510586,41.42048741
1511,24049,25719,24856,24862,3.45810508,54.83935295
1538,24307,26019,25153,25153,3.317011531,49.43024122
1567,24604,26320,25463,25462,3.343257024,49.43936853
1597,24920,26647,25794,25792,4.046098702,46.24350179
