depth_cm,min,max,median,mean,grass_drylandpc
0,-54,-26,-40,-40,82.67429647
5,27,2551,710,854,86.99262047
10,348,3781,1669,1773,85.93309293
15,859,4762,2598,2652,64.94990923
20,1533,5572,3538,3540,77.85628123
25,2353,6305,4411,4381,70.72736073
30,3142,6857,5357,5263,79.77652966
35,4289,7299,6266,6155,37.53922773
40,6031,7579,7239,7072,75.75413203
45,6495,8237,7601,7466,80.02708667
46,6820,8711,7853,7777,77.56006768
47,6943,9481,8065,8089,61.14367471
48,7015,10281,8288,8400,54.57409109
49,7084,11127,8518,8712,73.89916162
50,7145,11987,8771,9023,29.38677295
51,8331,12307,9672,9866,16.30412674
52,9391,12652,10583,10708,49.76497249
53,10237,12991,11529,11550,69.81972315
54,10962,13522,12446,12393,56.82744565
55,11548,14366,13331,13235,80.16197831
56,12380,14468,13583,13534,80.54132745
57,13078,14639,13890,13833,66.24022303
58,13419,14891,14184,14132,79.04309256
59,13544,15488,14413,14431,72.91027177
60,13628,16281,14638,14730,53.50382052
61,13748,16457,14820,14894,43.72088887
63,13927,16900,15144,15222,31.33369786
64,13992,17248,15284,15386,10.31729785
65,14053,17630,15433,15550,51.59035302
70,14558,18809,16215,16349,66.55376132
75,15066,19950,17030,17167,68.83322486
80,15638,20959,17860,17982,74.71427759
85,16265,21947,18691,18789,74.57084546
90,16830,23001,19490,19606,81.07753149
95,17455,24017,20337,20435,72.43308642
100,18128,24897,21158,21243,52.49406176
105,18727,25820,21972,22056,51.60142349
110,19505,26747,22794,22884,65.97717104
115,20197,27630,23621,23705,78.03897309
120,20931,28532,24473,24553,71.88741959
125,21665,29327,25286,25369,78.42844974
130,22400,30164,26098,26176,70.58935619
135,23231,31085,26963,27010,2.299005471
140,23912,31900,27768,27816,41.56454982
145,24687,32647,28587,28631,45.10776044
150,25566,33419,29408,29435,52.18374746
155,26201,34144,30176,30217,45.50290939
160,27070,34911,30975,31017,43.41296302
165,27899,35632,31803,31823,31.07678299
170,28745,36370,32629,32634,35.60112128
175,29534,37085,33445,33448,58.8675111
180,30384,37811,34269,34261,78.06838204
185,31423,38461,35118,35101,67.26793467
190,32233,39099,35972,35929,51.72147674
195,33198,39760,36780,36725,63.58666644
200,34175,40397,37602,37553,54.58506764
205,35166,41042,38389,38358,43.58817455
210,36131,41625,39207,39165,63.5967771
215,37272,42272,40029,40000,64.47658677
220,38494,42900,40851,40838,60.61245642
225,39774,43512,41626,41644,54.9382284
230,41169,44015,42312,42439,78.51951249
