depth_cm,min,max,median,mean,grass_drylandpc,montane_drylandpc
1,949,1067,1018,1016,0.001,75
5,4974,5557,5318,5308,0.001,100
9,9859,10445,10104,10119,0.001,100
13,11262,12687,11786,11834,0.001,100
17,11592,13709,12450,12506,0.001,100
25,12391,14615,13796,13710,0.001,94
33,14283,15262,14731,14739,6,94
41,14652,15934,15239,15253,0.001,100
65,16207,17260,16654,16674,0.001,91
77,16662,17837,17212,17224,1,89
93,17473,18534,17971,17979,6,80
109,18312,19997,18946,19009,0.001,72
125,19111,21518,20190,20215,0.001,57
141,20143,22793,21440,21451,1,62
153,21007,23664,22388,22373,4,44
169,22321,24726,23643,23609,0.001,71
177,22943,25132,24175,24145,7,70
206,25046,26576,25850,25840,0.001,85
218,25546,27303,26416,26418,0.001,100
230,26027,27989,26998,26999,0.001,71
242,26566,28604,27577,27582,0.001,96
270,27919,29890,28935,28927,11,67
302,29680,31067,30516,30474,0.001,88
346,31131,32551,31840,31847,0.001,90
422,33087,34484,33739,33753,0.001,100
526,35989,38065,36811,36877,0.001,100
546,36610,38848,37445,37548,25,75
