depth_cm,min,max,median,mean,grass_pc
9,96,1233,492,540,3
16,346,1805,939,982,6
37,1520,3093,2340,2333,8
49,2500,3624,3190,3155,5
69,4211,6760,5358,5389,3
99,8664,9593,8989,9019,0
120,9503,11676,10416,10459,4
136,10378,12850,11533,11559,4
148,11060,13694,12353,12360,0
162,11936,14653,13304,13298,6
171,12499,15231,13916,13905,3
183,13342,15891,14724,14700,3
192,13991,16383,15342,15299,0
199,14521,16764,15827,15774,3
222,16810,17754,17363,17342,3
247,17954,19407,18605,18620,4
275,19224,20997,20144,20135,4
289,20071,21622,20929,20902,3
298,20662,21953,21422,21395,4
317,21612,22850,22258,22247,4
328,21973,23339,22692,22670,3
340,22330,23789,23085,23050,0
349,22530,23957,23266,23245,0
361,22801,24203,23531,23511,0
368,22966,24336,23682,23664,3
382,23295,24600,23986,23976,0
391,23530,24778,24188,24176,0
400,23737,24957,24382,24371,0
414,24080,25215,24682,24675,3
425,24372,25420,24924,24919,3
444,24928,25731,25331,25339,3
455,25162,26063,25591,25595,0
462,25330,26267,25746,25761,0
472,25563,26605,25966,25999,3
488,25957,27149,26477,26494,3
502,26355,27628,26949,26960,3
511,26633,27958,27253,27260,0
520,26909,28243,27551,27555,2
534,27384,28700,28005,28014,4
555,28066,29566,28723,28748,6
566,28366,30159,29114,29155,0
578,28709,30736,29553,29594,3
701,32621,36756,33965,34143,8
714,33092,37358,34433,34627,3
738,33999,38589,35502,35689,2
765,35095,40132,36885,37066,1
779,35702,40883,37590,37773,0
