depth_cm,min,max,median,mean,montane_pc,herbs_pc
5,-53,-47,-50,-50,7,2
8,-39,166,41,47,2,5
17,179,563,349,349,0,5
24,308,924,607,608,0,16
33,608,1229,940,934,1,6
37,818,1360,1082,1079,5,14
41,1062,1519,1258,1261,1,4
45,1197,2111,1518,1558,4,4
49,1410,2497,1910,1922,2,5
53,1688,2794,2297,2283,2,3
57,2150,3018,2677,2650,1,4
60,2463,3157,2952,2930,3,2
66,2695,3786,3166,3193,3,3
71,13244,15815,15384,15214,5,0
78,14649,18279,16740,16698,22,0
81,15109,19027,17321,17296,14,2
85,15792,19720,18201,18106,12,6
89,16673,20116,19038,18859,8,0
94,18193,22853,20811,20817,12,0
101,21526,28972,24596,24786,3,3
105,22933,31509,27559,27471,7,1
112,29197,33066,31793,31632,3,2
117,31276,34850,33446,33375,3,2
120,31767,36349,33919,33984,3,3
