depth_cm,min,max,median,mean,montane_pc,herbs_pc
3,20579,30609,23998,25428,23,1
7,21800,30995,24600,26198,16,4
11,22825,31814,25091,26858,11,1
15,23730,32773,25499,27420,11,0
18,24741,33387,25709,27830,12,2
22,25881,34223,26492,28584,2,10
26,26307,34946,28078,29592,6,1
31,27232,36013,30213,31035,5,1
35,28007,36804,32021,32252,2,9
39,29090,37314,33316,33318,8,7
42,30285,37807,34284,34202,3,5
47,32328,38663,35823,35702,5,5
51,33787,39419,36847,36770,11,3
57,35509,40017,37887,37879,9,5
62,36500,40388,38502,38505,4,4
66,37056,40593,38911,38912,11,4
70,37594,40811,39316,39298,15,4
73,38148,40939,39585,39584,7,3
77,38877,41161,39946,39966,9,1
82,39622,41520,40481,40507,8,3
87,40175,42241,41131,41150,4,2
90,40443,42662,41545,41539,8,1
94,41135,43196,42048,42052,2,3
98,42083,43771,42599,42663,9,3
