depth_cm,min,max,median,mean,herb_drylandpc
7,-52,78,-20,-11,79.43262411
38,23,391,148,163,77.6119403
80,172,738,382,400,72.88135593
122,341,1055,612,639,73.5483871
159,493,1332,813,847,66.66666667
207,700,1683,1081,1117,76.43678161
277,1012,2205,1483,1516,50.64102564
317,1249,2547,1754,1790,55.46558704
352,1471,2830,2011,2033,51.05820106
395,1772,3175,2354,2369,51.65165165
433,2124,3573,2817,2818,53.46534653
458,2383,3850,3131,3113,53.97350993
514,2937,4421,3735,3709,53.02491103
559,3314,4831,4114,4097,53.10077519
599,3663,5196,4446,4442,51.41843972
637,3989,5549,4765,4767,51.02639296
658,4181,5742,4943,4948,52.10355987
706,4600,6166,5348,5358,51.9434629
757,5073,6619,5772,5794,51.3986014
794,5421,6954,6076,6110,51.74825175
837,5832,7314,6428,6475,52.15686275
868,6142,7586,6689,6749,52.21674877
915,6612,8178,7276,7311,53.23383085
958,7075,8708,7810,7835,50.40983607
998,7516,9194,8297,8317,52.7173913
1028,7856,9558,8667,8680,51.66666667
1077,8443,10131,9265,9269,53.03030303
1116,8927,10554,9738,9738,54.86381323
1168,9574,11174,10374,10370,56.42023346
1214,10152,11684,10934,10928,51.23966942
1239,10467,11945,11237,11229,54.59459459
1273,10918,12306,11645,11638,53.43915344
1311,11419,12707,12110,12098,54.18848168
1350,11948,13083,12585,12566,56.6395664
1395,12664,13501,13130,13113,58.47953216
1429,13013,13923,13487,13482,62.3880597
1465,13343,14367,13851,13854,63.80952381
1570,14338,15554,14932,14937,75.62724014
1610,14737,15985,15344,15346,74.57044674
1646,15103,16338,15719,15717,77.17391304
