out,x,y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
G6_4_grassland.out,118.066667,-10.783333,0.743175624,0.73516023,0.737898235,0.525581281,0.662461611,0.889193992,0.958447846,1.034401845,1.115740208,1.193866988,1.150903912,1.138567534,1.121938043,1.059344969,1.030086048,1.012990033,0.949665852
SH19014_grass.out,126.967,-5.767,0.489258305,0.4838927,0.483282187,0.429706781,0.428122443,0.715826719,1.33429388,1.287665554,1.123745985,1.142067644,1.164202921,1.350193201,1.208063617,1.219520483,0.855765967,0.87124974,0.859689748
G5_6_149P2_grassland.out,127.83,-9.366667,0.48372698,0.478867367,0.592060672,0.637750383,0.645448607,0.659649169,0.6965521,0.882738443,1.246875252,1.360628677,1.324568711,1.303739708,1.253036771,1.159584685,1.002920046,0.911446051,0.909719276
NPK2_grass.out,102.94,17.1,1.238835232,1.155280131,0.904295444,1.079407969,0.657999554,0.985228991,1.101104817,0.817864821,1.132374116,1.116362351,1.030437837,1.07731898,0.952154195,0.721801707,0.696395419,0.7121227,0.888549366
hordorli_grass.out,140.6,-2.6,1.577213545,1.338163625,1.860891686,0.861572256,0.526925478,0.540339549,1.211706975,1.027707824,1.10752982,0.826356669,0.509449211,0.114779158,0.077246325,0.19828921,0.363818793,0.144877533,0.117692105
SO18300_grass.out,108.65,4.35,0.839196607,0.719885445,0.512788738,0.379213663,0.3297607,0.353073826,0.417153986,0.538712413,0.767013309,1.004748368,2.043269659,1.219549653,0.947995703,0.754569061,0.740866014,0.926776592,0.91598894
SO18323_grass.out,107.88,2.783,0.821901626,0.871014708,0.952185857,0.881219448,0.962146269,0.958493363,0.73907976,0.605350554,0.623227466,0.72529957,0.843787853,1.272579007,1.743763555,1.244490765,0.656751581,0.795841678,0.866358114
SO18302_grass.out,108.57,4.15,NA,NA,NA,NA,0.58783257,0.862319027,0.844418451,0.594325176,0.711784475,1.131582514,1.304808236,0.560101738,1.581203288,NA,NA,NA,NA
CB19_grass.out,114.6,7.7,2.139329913,0.435778811,0.503450301,0.608395094,0.266392523,0.741193349,0.405587768,0.844429233,0.387734867,0.633717186,0.803411547,0.729150632,0.746735986,0.326919526,0.674924201,1.054095283,1.141751053
MD063075_grass.out,125.833,6.483,1.703916434,0.392622167,0.153251545,1.227145455,0.508226494,0.419434107,1.295650807,0.768242237,1.317518124,1.120347968,0.433932482,0.205307558,0.410666796,NA,NA,NA,NA
