median,d13C_C28
152,-27.05875811
207,-27.27264205
548,-27.08000739
1260,-25.88189241
1956,-28.21319512
2293,-28.70505359
2662,-28.49101845
3649,-28.96125466
4018,-28.64026746
4270,-29.1856322
4582,-28.91814119
4834,-29.55976278
5119,-29.12115856
5430,-29.1531333
5626,-29.48461409
5854,-29.09950606
6108,-29.24914821
6735,-28.1045395
6960,-28.38253419
7127,-28.85306273
7298,-28.70326938
7498,-28.17913377
7725,-27.98653943
7895,-28.06134538
8234,-27.98635799
8630,-28.05038809
8941,-28.039582
9194,-28.31756661
9248,-28.8416115
9561,-28.3709116
9842,-28.76653338
10099,-28.25307281
10466,-28.41336985
10779,-28.03892678
10947,-28.2527704
11401,-27.97453379
11681,-28.56266927
12192,-28.07050838
12560,-27.9848157
12786,-28.03821108
13013,-28.00604482
13383,-27.39628709
13919,-27.65278048
14150,-26.60456974
14406,-26.40127012
14662,-25.91989516
15086,-26.10156245
15539,-25.95166829
15877,-26.14406102
16359,-25.88720473
16754,-26.01540607
17210,-25.28797083
17323,-25.36279695
17690,-25.46961796
17999,-25.89731528
18059,-25.19141158
18229,-25.1913511
18371,-24.93461577
18568,-25.06288767
19078,-25.03062061
19586,-25.16947683
20179,-25.26552199
20267,-24.58099862
20520,-24.9980209
20690,-24.90170357
20943,-25.23316421
21764,-24.91201573
21936,-24.53762306
22076,-24.76217197
22274,-24.80488223
22473,-24.60160277
22670,-24.78335069
22867,-24.82606095
23290,-25.24302275
23998,-24.98608582
24276,-25.88438225
24677,-24.77193979
24846,-24.99647861
25015,-25.01780854
25184,-25.3172138
25412,-24.80376331
25664,-25.40260408
25834,-25.27420114
25890,-25.44530426
26116,-25.46661403
26230,-25.37031686
