median,Guano_d13C
142,-27
1085,-27.4
6651,-27.5
15613,-27.6
19104,-22.6
19575,-23
20047,-21.5
20613,-21.6
21085,-22.3
21651,-21.5
22123,-22.9
22500,-24.8
22877,-23.6
23255,-23.9
23726,-24.2
24292,-22.4
24575,-24.9
25519,-23.2
25708,-24.9
26274,-23.3
26557,-21
26745,-20.7
27311,-19.7
27594,-18.6
28066,-20.6
28915,-19.2
29104,-19.3
29481,-19.7
30142,-17.2
30519,-18.2
30896,-20.7
31557,-18.4
32123,-20.7
32217,-20.2
32500,-19.8
32689,-18.6
32877,-19.2
33066,-19.3
33349,-22.3
33443,-18.2
33632,-19.8
33821,-20.3
34009,-19.8
34387,-19.2
34953,-19.6
35142,-19.1
35425,-19.2
35802,-19.6
35991,-23.1
36462,-23.3
