,G64,SH19014,G56149P2,NPK2,HORD,d18300,d18323,d18302,CB19,MD063075,NS0725,d17964,DDA,G4K12P1,PBA,GEOB100693_grass,PSS,d100537_grass,TOW9,BJ891GCC,GEOB100693_d13C,MAT102B,d189144KL,MC1,d100537_d13C,mbelen
G64,1,0.734437,0.80573375,,-0.51572455,0.51789205,,,,,0.65015675,,,,,0.82470685,,0.86215965,0.836182,,0.57787985,0.31288925,,0.76814535,0.52783275,0.49804695
SH19014,,1,0.7529155,,-0.554425,0.46254575,,,,,0.64238675,,0.30885765,,,0.78861795,,0.7502686,0.7871157,,0.616703,0.4399778,,0.7179694,0.60034805,
G56149P2,,,1,,-0.63857865,0.56495095,,,,,0.67555355,,0.48946335,,-0.30283366,0.78772935,,0.6832816,0.83413325,-0.49997565,0.62603995,0.27364085,,0.819064,0.64185975,0.52409245
NPK2,,,,1,,,,,,,,,-0.400613473,,,,,,,,,,,,,
HORD,,,,,1,-0.44110645,,-0.4777001,,0.3615812,-0.50698175,,-0.5432519,,,-0.438110685,,,-0.69570885,,-0.59917135,,,-0.7358207,-0.62251655,
d18300,,,,,,1,,,,,,,,,,,,,0.5685224,,,,,0.5062577,,0.50570945
d18323,,,,,,,1,0.5187468,,-0.40546044,,,,,,,,,,,,,,,,
d18302,,,,,,,,1,,,,,0.429766445,,,,,0.3562033,0.6619502,,0.50024966,0.53256535,,0.5765246,0.7047706,0.57911855
CB19,,,,,,,,,1,,,,,,,,,,,,,,,,,
MD063075,,,,,,,,,,1,,,,,,,,,,,,,,,,
NS0725,,,,,,,,,,,1,,0.3790391,,,0.80745955,,0.815907,0.7221132,-0.18395722,0.5636863,0.5404186,,0.63237905,0.48226835,
d17964,,,,,,,,,,,,1,0.4260847,,,,-0.316652916,,,-0.44269303,,,,,,
DDA,,,,,,,,,,,,,1,,-0.59691875,,-0.48561025,,,-0.6128272,,,,,,
G4K12P1,,,,,,,,,,,,,,1,,,,,,0.4835457,,,0.466913965,,,
PBA,,,,,,,,,,,,,,,1,,0.6131081,0.23846087,,0.70673035,,,,,,
GEOB100693_grass,,,,,,,,,,,,,,,,1,,0.7976965,0.5303662,,0.9027524,0.60585145,,0.5717319,0.922505,
PSS,,,,,,,,,,,,,,,,,1,0.3263903,,0.44984045,,,,,,
d100537_grass,,,,,,,,,,,,,,,,,,1,0.6423675,0.34293829,0.408685935,0.6276694,0.35852217,,0.34534655,
TOW9,,,,,,,,,,,,,,,,,,,1,,0.4073012,0.5216479,,,0.50775595,0.4904018
BJ891GCC,,,,,,,,,,,,,,,,,,,,1,,,0.372911135,,,
GEOB100693_d13C,,,,,,,,,,,,,,,,,,,,,1,0.61230055,,0.5732101,0.920919,
MAT102B,,,,,,,,,,,,,,,,,,,,,,1,,0.306979805,0.51176055,-0.33526057
d189144KL,,,,,,,,,,,,,,,,,,,,,,,1,0.5433264,,0.55735425
MC1,,,,,,,,,,,,,,,,,,,,,,,,1,0.55382625,0.5566481
d100537_d13C,,,,,,,,,,,,,,,,,,,,,,,,,1,
mbelen,,,,,,,,,,,,,,,,,,,,,,,,,,1
